ML Number Display,Area Display,Street Full Address,Property Type,Property Subtype 1 Display,Listing Date,Status Date,Status Display,Listing Price,Selling Price
21901166,San Anselmo,"88 Florence Ave, San Anselmo, CA 94960-1809",RESI,Single Family,12/14/18,2/20/19,Sold,"2,450,000","2,525,000"
21907448,San Anselmo,"510 Center Blvd #A, San Anselmo, CA 94960-2270",RESI,Condo/Coop,3/19/19,5/20/19,Sold,"450,000","445,000"
21816682,San Anselmo,"252 Scenic Ave, San Anselmo, CA 94960-2238",RESI,Single Family,6/2/18,2/19/19,Sold,"650,000","620,000"
21905998,San Anselmo,"418 Scenic Ave, San Anselmo, CA 94960-2272",RESI,Single Family,3/16/19,5/22/19,Sold,"789,000","795,000"
21818477,San Anselmo,"53 Summit Rd, San Anselmo, CA 94960-2240",RESI,Single Family,4/16/18,6/18/19,Sold,"2,750,000","2,500,000"
21903143,San Anselmo,"19 Plumas Ave, San Anselmo, CA 94960-2284",RESI,Single Family,2/11/19,3/19/19,Sold,"925,000","1,000,000"
21904504,San Anselmo,"11 Maple Ln, San Anselmo, CA 94960-1857",RESI,Single Family,1/29/19,4/8/19,Sold,"1,295,000","1,425,000"
21912118,San Anselmo,"38 oak knoll Ave, San Anselmo, CA 94960-1813",RESI,Single Family,4/5/19,5/15/19,Sold Off MLS,"1,800,000","1,800,000"
21904909,San Anselmo,"84 Berkeley Ave, San Anselmo, CA 94960-1449",RESI,Single Family,2/2/19,5/10/19,Sold,"1,395,000","1,350,000"
21901265,San Anselmo,"100 Berkeley Ave, San Anselmo, CA 94960-1449",RESI,Single Family,11/8/18,4/8/19,Sold,"849,000","851,000"
21829973,San Anselmo,"35 Ridge Rd, San Anselmo, CA 94960-1424",RESI,Single Family,11/28/18,2/2/19,Sold,"969,000","1,030,000"
21827417,San Anselmo,"111 Ridge Rd, San Anselmo, CA 94960-1473",RESI,Single Family,10/19/18,2/24/19,Sold,"799,000","750,000"
21910618,San Anselmo,"35 Brookside Dr, San Anselmo, CA 94960-1441",RESI,Single Family,5/26/19,6/5/19,Sold Off MLS,"1,395,000","1,465,000"
21909439,San Anselmo,"1421 Sir Francis Drake Blvd, San Anselmo, CA 94960-1822",RESI,Single Family,3/14/19,6/11/19,Sold Off MLS,"859,000","880,000"
21820597,San Anselmo,"19 Durham Rd, San Anselmo, CA 94960-1604",RESI,Single Family,8/16/18,4/1/19,Sold,"1,325,000","1,294,000"
21907842,San Anselmo,"74 Mountain View Ave, San Anselmo, CA 94960-1460",RESI,Single Family,4/8/19,5/14/19,Sold,"1,499,000","1,524,000"
21909559,San Anselmo,"60 El Cerrito Ave, San Anselmo, CA 94960-1701",RESI,Single Family,4/1/19,6/7/19,Sold,"1,385,000","1,380,000"
21904484,San Anselmo,"9 Oak Springs Dr, San Anselmo, CA 94960-1322",RESI,Single Family,8/7/18,4/29/19,Sold,"1,249,000","1,305,000"
21902251,San Anselmo,"21 Woodside Ct, San Anselmo, CA 94960-1332",RESI,Single Family,2/5/19,4/18/19,Sold,"995,000","975,000"
21901355,San Anselmo,"20 Carlson Ave, San Anselmo, CA 94960-1331",RESI,Single Family,1/19/19,5/7/19,Sold,"1,195,000","1,185,000"
21905149,San Rafael,"5 Roberts Ave, San Rafael, CA 94901-5037",RESI,Single Family,2/25/19,4/7/19,Sold,"1,150,000","1,431,000"
21906204,San Rafael,"30 Glen Ave, San Rafael, CA 94901-5090",RESI,Single Family,3/22/19,5/6/19,Sold,"1,337,000","1,265,000"
21908022,San Rafael,"14 Bret Ave, San Rafael, CA 94901-5155",RESI,Single Family,2/18/19,5/28/19,Sold,"899,000","896,650"
21830769,San Rafael,"42 Bret Ave, San Rafael, CA 94901-5156",RESI,Single Family,12/11/18,2/15/19,Sold,"765,000","765,000"
21912157,San Rafael,"74 Billou St, San Rafael, CA 94901-5101",RESI,Single Family,5/15/19,6/26/19,Sold,"925,000","958,000"
21904567,San Rafael,"65 Blossom Dr, San Rafael, CA 94901-5266",RESI,Single Family,3/4/19,5/16/19,Sold,"899,000","889,000"
21908070,San Rafael,"466 Bret Harte Rd, San Rafael, CA 94901-5254",RESI,Single Family,2/24/19,5/10/19,Sold,"1,395,000","1,400,000"
21906939,San Rafael,"331 Bret Harte Rd, San Rafael, CA 94901-5252",RESI,Single Family,4/24/19,5/12/19,Sold,"1,995,000","2,010,000"
21912417,San Rafael,"59 Billou St, San Rafael, CA 94901-5116",RESI,Single Family,5/17/19,6/28/19,Sold,"699,000","786,000"
21912478,San Rafael,"8 Meadow Ave, San Rafael, CA 94901",RESI,Single Family,5/16/19,7/2/19,Sold,"765,000","840,000"
21901952,San Rafael,"44 Glenaire Dr, San Rafael, CA 94901-5220",RESI,Single Family,12/30/18,2/26/19,Sold,"1,090,000","1,097,789"
21905294,San Rafael,"145 Bret Harte Rd, San Rafael, CA 94901-5248",RESI,Single Family,2/21/19,4/10/19,Sold,"1,395,000","1,650,500"
21903175,San Rafael,"177 Irwin St, San Rafael, CA 94901-5228",RESI,Single Family,2/13/19,4/9/19,Sold,"949,000","920,000"
21911750,San Rafael,"237 Picnic Ave #28, San Rafael, CA 94901-5085",RESI,Condo/Coop,4/18/19,6/18/19,Sold,"499,000","505,000"
21823247,San Rafael,"14 Baywood Ter, San Rafael, CA 94901-5233",RESI,Single Family,8/28/18,2/11/19,Sold,"1,625,000","1,575,000"
21902530,San Anselmo,"1055 San Anselmo Ave, San Anselmo, CA 94960-2136",RESI,Single Family,12/17/18,3/17/19,Sold,"769,000","845,000"
21830946,San Anselmo,"9 Laurel Ave, San Anselmo, CA 94960-2105",RESI,Single Family,12/26/18,2/8/19,Sold,"699,000","720,000"
21902004,San Anselmo,"61 Hillside Ave, San Anselmo, CA 94960-2129",RESI,Single Family,1/29/19,5/1/19,Sold,"399,000","535,000"
21910022,San Anselmo,"72 Grove Ln, San Anselmo, CA 94960-2103",RESI,Single Family,3/11/19,5/31/19,Sold,"1,275,000","1,460,000"
21909427,San Anselmo,"445 Laurel Ave, San Anselmo, CA 94960",RESI,Single Family,4/21/19,6/29/19,Sold,"1,295,000","1,300,445"
21911900,San Anselmo,"406 Oak Ave, San Anselmo, CA 94960-2703",RESI,Single Family,5/19/19,6/28/19,Sold,"1,700,000","1,700,000"
21902627,San Anselmo,"565 Oak Ave, San Anselmo, CA 94960",RESI,Single Family,2/6/19,4/26/19,Sold,"3,095,000","3,095,000"
21906515,San Anselmo,"130 Woodland Ave, San Anselmo, CA 94960",RESI,Single Family,1/27/19,5/13/19,Sold,"2,050,000","2,400,000"
21911306,San Anselmo,"137 Crescent Rd, San Anselmo, CA 94960-2707",RESI,Single Family,10/10/18,5/10/19,Sold Off MLS,"3,800,000","3,800,000"
21829265,San Anselmo,"181 Tunstead Ave, San Anselmo, CA 94960-2616",RESI,Single Family,10/4/18,1/13/19,Sold,"999,000","950,000"
21902390,San Anselmo,"170 Pine St, San Anselmo, CA 94960-2602",RESI,Single Family,2/1/19,3/1/19,Sold,"1,685,000","1,800,000"
21904910,San Anselmo,"171 Pine St, San Anselmo, CA 94960-2601",RESI,Single Family,2/20/19,4/10/19,Sold,"799,000","906,000"
21909582,San Anselmo,"58 woodland Ave, San Anselmo, CA 94960-2604",RESI,Single Family,3/22/19,4/23/19,Sold Off MLS,"1,350,000","1,350,000"
21900051,San Anselmo,"49 Austin Ave, San Anselmo, CA 94960-2934",RESI,Single Family,10/6/18,2/4/19,Sold,"1,250,000","1,245,000"
21908823,San Anselmo,"15 Vine Ave, San Anselmo, CA 94960-2730",RESI,Single Family,2/11/19,6/21/19,Sold,"1,549,000","1,495,000"
21906233,San Rafael,"3628 Kerner Blvd, San Rafael, CA 94901-4425",RESI,Condo/Coop,2/4/19,3/26/19,Sold Off MLS,"380,000","380,000"
21906780,San Rafael,"3638 Kerner Blvd, San Rafael, CA 94901-4426",RESI,Condo/Coop,2/4/19,3/28/19,Sold Off MLS,"390,000","390,000"
21906818,San Rafael,"250 Vista Del Mar, San Rafael, CA 94901-4844",RESI,Condo/Coop,2/4/19,3/28/19,Sold Off MLS,"480,000","480,000"
21830820,San Rafael,"241 Vista Del Mar Ave, San Rafael, CA 94901-4811",RESI,Condo/Coop,12/13/18,1/21/19,Sold,"319,000","300,000"
21906814,San Rafael,"347 Playa Del Rey, San Rafael, CA 94901-4420",RESI,Condo/Coop,3/28/19,6/26/19,Sold,"499,900","500,000"
21906648,San Rafael,"385 Bahia Way, San Rafael, CA 94901-4562",RESI,Condo/Coop,2/4/19,3/28/19,Sold Off MLS,"380,000","380,000"
21901129,San Rafael,"415 Bahia Way, San Rafael, CA 94901-4520",RESI,Condo/Coop,10/16/18,1/18/19,Sold Off MLS,"350,000","350,000"
21901085,San Rafael,"149 Bahia Cir, San Rafael, CA 94901-4542",RESI,Condo/Coop,10/16/18,1/18/19,Sold Off MLS,"360,000","360,000"
21902991,San Rafael,"10 Newport Way, San Rafael, CA 94901-4411",RESI,Single Family,1/21/19,4/8/19,Sold,"649,000","640,000"
21905784,San Rafael,"1 Bedford Cv, San Rafael, CA 94901-4472",RESI,Condo/Coop,5/2/19,6/18/19,Sold,"895,000","864,500"
21901468,San Rafael,"20 Tern Ct, San Rafael, CA 94901-8400",RESI,Condo/Coop,12/5/18,2/28/19,Sold,"850,000","860,000"
21903186,San Rafael,"2 Heron Ct, San Rafael, CA 94901-8401",RESI,Condo/Coop,2/19/19,5/6/19,Sold,"829,000","825,000"
21902384,San Rafael,"2 Avocet Ct, San Rafael, CA 94901-4407",RESI,Condo/Coop,2/4/19,3/8/19,Sold,"819,000","833,500"
21907001,San Rafael,"111 Manderly Rd, San Rafael, CA 94901-2470",RESI,Single Family,1/29/19,5/10/19,Sold,"1,395,000","1,390,000"
21907829,San Rafael,"48 Kinross Dr, San Rafael, CA 94901-2420",RESI,Single Family,4/1/19,5/14/19,Sold,"1,495,000","1,600,000"
21908531,San Anselmo,"116 Jordan Ave, San Anselmo, CA 94960-2323",RESI,Single Family,4/3/19,6/27/19,Sold,"1,495,000","1,495,000"
21904055,San Anselmo,"34 Sir Francis Drake Blvd, San Anselmo, CA 94960-2536",RESI,Single Family,2/26/19,4/25/19,Sold,"899,000","870,000"
21906649,San Anselmo,"145 Barber Ave, San Anselmo, CA 94960-2540",RESI,Single Family,3/27/19,6/11/19,Sold,"2,195,000","2,175,000"
21828022,San Anselmo,"158 Prospect Ave, San Anselmo, CA 94960-2521",RESI,Single Family,10/29/18,2/28/19,Sold,"3,150,000","3,150,000"
21901822,San Anselmo,"43 Forbes Ave, San Anselmo, CA 94960-2311",RESI,Single Family,1/25/19,3/7/19,Sold,"1,195,000","1,285,000"
21902527,San Anselmo,"309 Greenfield Rd, San Anselmo, CA 94960-2417",RESI,Single Family,10/10/18,5/10/19,Sold,"849,000","910,000"
21905840,San Anselmo,"400 Greenfield Ave, San Anselmo, CA 94960-2420",RESI,Single Family,3/15/19,5/1/19,Sold,"1,695,000","1,810,000"
21910107,San Anselmo,"45 Barber Ave, San Anselmo, CA 94960-2542",RESI,Single Family,4/28/19,5/29/19,Sold,"2,295,000","2,350,000"
21903033,San Anselmo,"80 Lincoln Park, San Anselmo, CA 94960-2562",RESI,Single Family,12/27/18,4/15/19,Sold,"899,000","950,000"
21908411,San Rafael,"63 Porto Bello Dr, San Rafael, CA 94901-4225",RESI,Condo/Coop,4/24/19,6/22/19,Sold,"735,000","725,000"
21902554,San Rafael,"9 Hingham Cv, San Rafael, CA 94901-4489",RESI,Single Family,2/5/19,5/1/19,Sold,"819,000","820,000"
21905555,San Rafael,"106 Plymouth Cv, San Rafael, CA 94901-4461",RESI,Single Family,3/15/19,5/24/19,Sold,"815,000","808,000"
21902245,San Rafael,"118 Plymouth Cv, San Rafael, CA 94901-4461",RESI,Condo/Coop,1/5/19,2/2/19,Sold Off MLS,"975,000","965,000"
21911908,San Rafael,"108 Nantucket Cv, San Rafael, CA 94901-4463",RESI,Single Family,3/21/19,6/29/19,Sold,"750,000","750,000"
21900169,San Rafael,"8 Royal Ct, San Rafael, CA 94901",RESI,Condo/Coop,11/24/18,2/14/19,Sold,"665,000","670,000"
21901000,San Rafael,"3444 Kerner Blvd, San Rafael, CA 94901-4610",RESI,Condo/Coop,10/16/18,1/18/19,Sold Off MLS,"475,000","475,000"
21909370,San Rafael,"183 Greenfield Ave, San Rafael, CA 94901-2622",RESI,Single Family,4/8/19,6/5/19,Sold,"1,135,000","1,120,000"
21908661,San Rafael,"6 Spring Grove Ave, San Rafael, CA 94901-2636",RESI,Single Family,3/4/19,6/3/19,Sold,"869,000","902,000"
21909533,San Rafael,"108 Hillside Ave, San Rafael, CA 94901",RESI,Single Family,5/15/19,6/8/19,Sold,"1,249,000","1,300,000"
21903056,San Rafael,"9 Upper Fremont Dr, San Rafael, CA 94901-2613",RESI,Single Family,3/9/19,4/30/19,Sold,"1,295,000","1,275,000"
21827180,San Rafael,"14 Hart St, San Rafael, CA 94901-2606",RESI,Single Family,9/12/18,2/15/19,Sold,"888,000","863,000"
21901364,San Rafael,"21 Miraflores Ave, San Rafael, CA 94901-3667",RESI,Single Family,1/22/19,4/11/19,Sold,"849,000","851,000"
21904814,San Rafael,"614 E St, San Rafael, CA 94901-3734",RESI,Single Family,3/12/19,4/11/19,Sold,"847,000","847,000"
21902288,San Rafael,"52 Clark St, San Rafael, CA 94901-3654",RESI,Single Family,2/1/19,3/8/19,Sold,"799,000","901,000"
21906237,San Rafael,"127 San Rafael Ave, San Rafael, CA 94901",RESI,Single Family,2/14/19,5/29/19,Sold,"1,700,000","1,700,000"
21824017,San Rafael,"221 D St, San Rafael, CA 94901-5027",RESI,Single Family,9/12/18,1/11/19,Sold,"1,299,000","1,200,000"
21908053,San Rafael,"221 C St, San Rafael, CA 94901-4916",RESI,Single Family,1/28/19,4/9/19,Sold Off MLS,"1,595,000","1,660,000"
21828713,San Rafael,"76 D St, San Rafael, CA 94901-5075",RESI,Single Family,10/3/18,1/14/19,Sold,"999,000","915,000"
21903547,San Rafael,"16 Hacienda Ct, San Rafael, CA 94901-1315",RESI,Single Family,2/19/19,4/29/19,Sold,"799,777","799,000"
21906403,Fairfax,"42 Pine Dr, Fairfax, CA 94930-2141",RESI,Single Family,4/23/19,5/24/19,Sold,"1,499,000","1,475,000"
21908049,Fairfax,"27 Meadow Way, Fairfax, CA 94930-2151",RESI,Single Family,4/8/19,5/9/19,Sold,"1,500,000","1,500,000"
21907346,Fairfax,"438 Bolinas Rd, Fairfax, CA 94930-2019",RESI,Single Family,2/13/19,4/29/19,Sold,"749,000","795,000"
21829191,Fairfax,"454 Bolinas Rd, Fairfax, CA 94930-2019",RESI,Single Family,10/31/18,1/8/19,Sold,"749,000","819,000"
21906977,Fairfax,"20 Walsh Ln, Fairfax, CA 94930-1956",RESI,Single Family,3/30/19,5/14/19,Sold,"949,000","1,050,000"
21900464,Fairfax,"20 Cypress Dr, Fairfax, CA 94930",RESI,Single Family,12/16/18,1/8/19,Sold Off MLS,"950,000","939,000"
21903644,Fairfax,"100 Cascade Dr, Fairfax, CA 94930-2106",RESI,Single Family,3/27/19,4/24/19,Sold,"869,000","960,000"
21905277,San Rafael,"18 Dominican Dr, San Rafael, CA 94901-1338",RESI,Single Family,3/12/19,4/16/19,Sold,"968,000","1,275,000"
21826728,San Rafael,"216 Mountain View Ave, San Rafael, CA 94901-1350",RESI,Single Family,9/20/18,6/26/19,Sold,"2,590,000","2,350,000"
21909163,San Rafael,"1554 Grand Ave, San Rafael, CA 94901-2273",RESI,Single Family,4/2/19,5/22/19,Sold,"2,400,000","2,400,000"
21905657,San Rafael,"242 Locust Ave, San Rafael, CA 94901-2241",RESI,Single Family,3/19/19,4/8/19,Sold,"1,375,000","1,525,000"
21826396,San Rafael,"140 Dominican Dr, San Rafael, CA 94901-1365",RESI,Single Family,10/10/18,2/15/19,Sold,"1,310,000","1,300,000"
21904540,San Rafael,"100 Palm Ave, San Rafael, CA 94901-2223",RESI,Single Family,3/4/19,4/30/19,Sold,"2,695,000","2,695,000"
21824599,San Rafael,"191 Deer Park Ave, San Rafael, CA 94901-2342",RESI,Single Family,9/26/18,1/14/19,Sold,"1,595,000","1,540,000"
21909538,San Rafael,"361 Mountain View Ave, San Rafael, CA 94901-1371",RESI,Single Family,4/24/19,5/17/19,Sold,"1,799,000","1,850,000"
21902960,San Rafael,"295 Mountain View Ave, San Rafael, CA 94901-1367",RESI,Single Family,10/20/18,3/12/19,Sold,"1,295,000","1,320,000"
21900791,Larkspur,"3 Hillcrest Ave, Larkspur, CA 94939-1011",RESI,Single Family,1/13/19,4/3/19,Sold,"1,195,000","1,098,000"
21913780,Larkspur,"32 Yale Ave, Larkspur, CA 94939-1121",RESI,Single Family,5/3/19,6/12/19,Sold,"1,995,000","2,050,000"
21907149,Larkspur,"54 Yale Ave, Larkspur, CA 94939-1121",RESI,Single Family,2/26/19,4/1/19,Sold Off MLS,"3,325,000","3,325,000"
21903778,Larkspur,"174 Harvard Dr, Larkspur, CA 94939-1110",RESI,Single Family,2/24/19,4/15/19,Sold,"2,375,000","2,200,000"
21901010,Larkspur,"19 Dartmouth Dr, Larkspur, CA 94939-1104",RESI,Single Family,10/27/18,1/15/19,Sold Off MLS,"1,750,000","1,755,000"
21905267,Larkspur,"140 Tulane Dr, Larkspur, CA 94939-1128",RESI,Single Family,2/13/19,5/24/19,Sold,"2,595,000","2,440,000"
21901955,Larkspur,"145 Harvard Dr, Larkspur, CA 94939-1109",RESI,Single Family,1/29/19,4/15/19,Sold,"1,799,000","1,790,000"
21903565,Larkspur,"26 TULANE Dr, Larkspur, CA 94939",RESI,Single Family,2/11/19,4/4/19,Sold,"2,295,000","2,310,000"
21914791,Larkspur,"15 Harvard Dr, Larkspur, CA 94939-1107",RESI,Single Family,4/15/19,6/10/19,Sold Off MLS,"3,000,000","3,000,000"
21823988,Larkspur,"9 Harvard Dr, Larkspur, CA 94939-1107",RESI,Single Family,8/20/18,1/9/19,Sold,"1,749,000","1,655,000"
21901469,Larkspur,"22 Escalle Ln, Larkspur, CA 94939-1216",RESI,Condo/Coop,1/18/19,2/20/19,Sold,"829,000","806,150"
21907005,Larkspur,"207 HAWTHORNE Ave, Larkspur, CA 94939-1307",RESI,Single Family,3/31/19,5/16/19,Sold,"2,695,000","2,740,000"
21902372,Larkspur,"10 TAMALPAIS Ave, Larkspur, CA 94939-1319",RESI,Single Family,2/2/19,5/23/19,Sold,"2,495,000","2,435,000"
21910518,Corte Madera,"115 Buena Vista Ave, Corte Madera, CA 94925-1601",RESI,Single Family,4/30/19,6/4/19,Sold,"2,200,000","2,000,000"
21901507,Corte Madera,"485 Montecito Ave, Corte Madera, CA 94925-1569",RESI,Single Family,1/23/19,3/26/19,Sold,"1,295,000","1,220,000"
21906558,Corte Madera,"39 Alta Way, Corte Madera, CA 94925-1501",RESI,Single Family,3/26/19,5/3/19,Sold,"1,099,000","1,160,000"
21830178,Corte Madera,"5 Madrono Ave, Corte Madera, CA 94925-1646",RESI,Single Family,12/2/18,1/15/19,Sold,"1,699,000","1,625,000"
21912623,Corte Madera,"2 South Way, Corte Madera, CA 94925-1624",RESI,Single Family,1/23/19,5/21/19,Sold Off MLS,"1,495,000","1,245,000"
21909136,Corte Madera,"920 MEADOWSWEET Dr, Corte Madera, CA 94925-1721",RESI,Condo/Coop,4/15/19,5/9/19,Sold,"895,000","900,000"
21906743,Corte Madera,"35 Echo Ave, Corte Madera, CA 94925-1848",RESI,Single Family,3/2/19,4/22/19,Sold,"1,500,000","1,555,000"
21909205,Corte Madera,"2 Yolo St, Corte Madera, CA 94925-1849",RESI,Single Family,4/21/19,5/21/19,Sold,"1,449,500","1,540,113"
21905668,Corte Madera,"11 Echo Ave, Corte Madera, CA 94925-1826",RESI,Single Family,3/17/19,4/16/19,Sold,"1,275,000","1,400,000"
21907125,Corte Madera,"8 Harbor Dr, Corte Madera, CA 94925-1847",RESI,Single Family,4/8/19,5/13/19,Sold,"895,000","1,050,000"
21906001,Corte Madera,"14 Edgemar Way, Corte Madera, CA 94925-1803",RESI,Single Family,5/5/18,5/14/19,Sold,"1,999,000","2,000,000"
21905268,Corte Madera,"42 Paloma Dr, Corte Madera, CA 94925-2016",RESI,Single Family,3/11/19,4/15/19,Sold,"1,375,000","1,555,555"
21903494,Corte Madera,"18 Paloma Dr, Corte Madera, CA 94925-2016",RESI,Single Family,2/18/19,6/18/19,Sold,"1,719,000","1,669,000"
21912640,Corte Madera,"50 Granada Dr, Corte Madera, CA 94925-2006",RESI,Single Family,5/21/19,6/28/19,Sold,"899,000","925,000"
21905325,Corte Madera,"37 El Camino Dr, Corte Madera, CA 94925-2001",RESI,Single Family,3/13/19,5/17/19,Sold,"1,250,000","1,200,000"
21907529,Corte Madera,"14 Vista Ct, Corte Madera, CA 94925",RESI,Single Family,4/4/19,5/16/19,Sold,"1,395,000","1,575,000"
21909366,Corte Madera,"5 Key Largo Crse, Corte Madera, CA 94925-1830",RESI,Single Family,3/25/19,5/29/19,Sold,"1,595,000","1,622,000"
21910241,Corte Madera,"13 Seawolf Psge, Corte Madera, CA 94925-1853",RESI,Single Family,2/25/19,4/30/19,Sold Off MLS,"1,395,000","1,544,750"
21906013,Corte Madera,"26 Pacific Queen Psge, Corte Madera, CA 94925-1819",RESI,Single Family,3/25/19,5/17/19,Sold,"1,355,000","1,335,000"
21912403,Corte Madera,"49 Spindrift Psge, Corte Madera, CA 94925-1835",RESI,Single Family,4/29/19,6/21/19,Sold,"1,199,000","1,320,000"
21901186,Corte Madera,"21 Prince Royal Passage, Corte Madera, CA 94925-1820",RESI,Single Family,1/22/19,2/22/19,Sold,"1,395,000","1,450,000"
21904764,Corte Madera,"60 Staghound Psge, Corte Madera, CA 94925",RESI,Single Family,9/18/18,3/7/19,Sold Off MLS,"1,445,000","1,466,000"
21908891,Corte Madera,"259 Golden Hind Psge, Corte Madera, CA 94925-1953",RESI,Single Family,4/16/19,6/4/19,Sold,"1,475,000","1,755,000"
21910569,Corte Madera,"279 Golden Hind Psge, Corte Madera, CA 94925-1953",RESI,Single Family,4/3/19,6/13/19,Sold,"1,995,000","2,408,000"
21903063,Corte Madera,"264 Golden Hind Psge, Corte Madera, CA 94925-1952",RESI,Single Family,2/26/19,4/30/19,Sold,"1,345,000","1,300,000"
21905068,Corte Madera,"8 Parkview Cir, Corte Madera, CA 94925-1270",RESI,Condo/Coop,3/11/19,4/29/19,Sold,"1,149,000","1,170,000"
21908971,Corte Madera,"23 Creekside Ct, Corte Madera, CA 94925-1269",RESI,Condo/Coop,4/6/19,5/16/19,Sold,"1,225,000","1,300,000"
21906585,Corte Madera,"3 Creekside Ct, Corte Madera, CA 94925-1269",RESI,Condo/Coop,1/10/19,6/4/19,Sold,"1,200,000","1,176,744"
21907123,Corte Madera,"121 Meadowcreek Dr, Corte Madera, CA 94925-1281",RESI,Condo/Coop,1/9/19,5/6/19,Sold,"1,100,000","1,125,000"
21906296,Fairfax,"428 Cascade Dr, Fairfax, CA 94930-2211",RESI,Single Family,3/19/19,5/7/19,Sold,"1,050,000","1,168,250"
21906509,Fairfax,"142 Pine Dr, Fairfax, CA 94930-2216",RESI,Single Family,1/16/19,6/14/19,Sold,"1,225,000","1,205,000"
21905197,Fairfax,"164 Pine Dr, Fairfax, CA 94930-2216",RESI,Single Family,1/27/19,5/10/19,Sold,"899,000","850,000"
21908237,San Anselmo,"15 Monterey Ave, San Anselmo, CA 94960-1611",RESI,Single Family,2/20/19,5/20/19,Sold,"989,000","1,085,000"
21909420,San Anselmo,"48 Monterey Ave, San Anselmo, CA 94960-1612",RESI,Single Family,4/22/19,7/9/19,Sold,"899,000","955,000"
21908019,San Anselmo,"112 San Francisco Blvd, San Anselmo, CA 94960-1623",RESI,Single Family,1/17/19,5/17/19,Sold,"1,675,000","1,735,000"
21907906,San Anselmo,"100 Park Dr, San Anselmo, CA 94960-1737",RESI,Single Family,4/9/19,4/30/19,Sold,"1,295,000","1,481,000"
21825124,San Anselmo,"61 Sais Ave, San Anselmo, CA 94960-2025",RESI,Single Family,9/25/18,3/4/19,Sold,"2,195,000","2,175,000"
